#threads,exec_time,speedup
1S,3.251691,1
1,3.216475,1.010948
2,1.699391,1.913444
3,1.227457,2.649128
4,1.015038,3.203516
5,0.975678,3.332750
6,1.023042,3.178453
7,1.209122,2.689299
8,1.133021,2.869930
