#threads,exec_time,speedup
1S,0.123907,1
1,0.124832,.992590
2,0.073779,1.679434
3,0.056728,2.184230
4,0.052978,2.338838
5,0.057537,2.153518
6,0.078550,1.577428
7,0.054675,2.266245
8,0.066917,1.851652
