#threads,exec_time,speedup
1S,0.228083,1
1,0.224682,1.015136
2,0.122823,1.857005
3,0.101484,2.247477
4,0.091982,2.479648
5,0.101461,2.247986
6,0.097262,2.345037
7,0.086878,2.625325
8,0.097765,2.332971
