#threads,exec_time,speedup
1S,16.290714,1
1,16.317522,.998357
2,8.803157,1.850553
3,6.499253,2.506551
4,5.748148,2.834080
5,4.991725,3.263543
6,6.572155,2.478747
7,6.524432,2.496878
8,8.463944,1.924719
