#threads,exec_time,speedup
1S,0.939140,1
1,0.947399,.991282
2,0.537395,1.747578
3,0.373171,2.516647
4,0.310779,3.021890
5,0.380805,2.466196
6,0.346580,2.709735
7,0.403252,2.328915
8,0.469106,2.001978
