#threads,exec_time,speedup
1S,27.686986,1
1,28.126551,.984371
2,14.636856,1.891593
3,10.450889,2.649246
4,8.316254,3.329261
5,8.932415,3.099608
6,8.285959,3.341434
7,9.126505,3.033689
8,9.833670,2.815529
