#threads,exec_time,speedup
1S,0.091857,1
1,0.093787,.979421
2,0.052937,1.735213
3,0.045050,2.039001
4,0.033208,2.766110
5,0.041407,2.218393
6,0.033665,2.728560
7,0.041269,2.225811
8,0.041398,2.218875
