#threads,exec_time,speedup
1S,0.163019,1
1,0.166504,.979069
2,0.094787,1.719845
3,0.067472,2.416098
4,0.059413,2.743827
5,0.063254,2.577212
6,0.076854,2.121151
7,0.095106,1.714076
8,0.079841,2.041795
