#threads,exec_time,speedup
1S,0.245682,1
1,0.218951,1.122086
2,0.137101,1.791978
3,0.099744,2.463125
4,0.087292,2.814484
5,0.089175,2.755054
6,0.091183,2.694383
7,0.102487,2.397201
8,0.105099,2.337624
