#threads,exec_time,speedup
1S,0.052243,1
1,0.053804,.970987
2,0.041171,1.268927
3,0.023424,2.230319
4,0.026776,1.951112
5,0.021873,2.388469
6,0.026272,1.988542
7,0.027552,1.896159
8,0.032130,1.625988
