#threads,exec_time,speedup
1S,0.059318,1
1,0.062102,.955170
2,0.042324,1.401521
3,0.031368,1.891035
4,0.030236,1.961833
5,0.032936,1.801008
6,0.029460,2.013509
7,0.034017,1.743775
8,0.030225,1.962547
